time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_range,train/n_updates,train/std,train/explained_variance,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/learning_rate,train/loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
16384,110,-49.84,148,32,50.0,-0.01966408551670611,0.3,310,0.13984443247318268,0.9826304763555527,1.6463095024228096,0.1203125,0.026313167,1.3152060471475124,5.49717e-05,0.34249943494796753,,,
16896,113,-49.84,149,33,50.0,-0.030259545135777444,0.3,320,0.1402093768119812,0.987692603841424,1.641759705543518,0.194921875,0.026334733,1.5151744775474072,5.49717e-05,0.4698580503463745,,,
17408,116,-49.88,149,34,50.0,-0.03519586139591411,0.3,330,0.14044803380966187,0.9937257743440568,1.6346597217023373,0.2087890625,0.027239606,0.9168115727603435,5.49717e-05,0.27349695563316345,,,
17920,119,-49.88,149,35,50.0,-0.03989518077578395,0.3,340,0.1406080275774002,0.9901396241039038,1.630380468070507,0.2134765625,0.027116029,1.304800946265459,5.49717e-05,0.3610643446445465,,,
18432,123,-49.88,148,36,50.0,-0.02852162184426561,0.3,350,0.14084070920944214,0.9914954286068678,1.6266315296292304,0.16015625,0.027933123,1.0286000061780214,5.49717e-05,0.3381637930870056,,,
18944,127,-49.88,149,37,50.0,-0.041490590886678544,0.3,360,0.1410173624753952,0.9932897300459445,1.6219990752637385,0.210546875,0.028952394,0.9586513938382268,5.49717e-05,0.3083774745464325,,,
19456,129,-49.9,149,38,50.0,-0.03896158080315217,0.3,370,0.14126214385032654,0.9949832279235125,1.6175986662507058,0.20625,0.031463053,0.690822645649314,5.49717e-05,0.2953909635543823,,,
19968,132,-49.91,150,39,50.0,-0.029585788084659725,0.3,380,0.1415301412343979,0.9933665106073022,1.611856146901846,0.2013671875,0.050929043,0.702002327144146,5.49717e-05,0.2558612525463104,,,
20000,,,,,,-0.03317816421040334,0.3,390,0.14188653230667114,0.9931392418220639,1.6058139607310296,0.19609375,0.047527608,0.933527448028326,5.49717e-05,0.37086743116378784,-50.0,50.0,0.0
20480,137,-49.92,149,40,50.0,,,,,,,,,,,,,,
